,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1406401344643207168,1406401344643207168,1624147184000.0,2021-06-19 20:59:44,-0300,,“Se um povo vai às ruas numa pandemia é porque o governo é mais perigoso que o vírus”. #19j #forabolsonaro  https://t.co/fCWKbWSEzg,pt,"['19j', 'forabolsonaro']",[],203332874,203332874,natbonavides,Natália Bonavides,6,20,https://twitter.com/natbonavides/status/1406401344643207168,[],['https://pbs.twimg.com/media/E4SKkAnX0AU_s70.jpg'],1,https://pbs.twimg.com/media/E4SKkAnX0AU_s70.jpg,False,639,7,78,,#19j,,,,,,,[],,,,
1,1406401309822095360,1406401309822095360,1624147176000.0,2021-06-19 20:59:36,-0300,,#19J FOI GIGANTE!✊🏾 FOI INTERNACIONAL! LOTAMOS RUAS PARA FAZER JUSTIÇA!  #ForaBolsonaroGenocida #EleNuncaMais #VacinaNoBraçoComidaNoPrato,pt,"['19j', 'forabolsonarogenocida', 'elenuncamais', 'vacinanobraçocomidanoprato']",[],2266792957,2266792957,titto_ferreira,#NoLimite ⛓️TITTO DO VIGOR✊🏾,6,20,https://twitter.com/titto_ferreira/status/1406401309822095360,[],[],0,,False,0,0,0,,#19j,,,,,,,[],,,,
2,1406401299705483267,1406396714118955011,1624147174000.0,2021-06-19 20:59:34,-0300,,"@_makavelijones Aracaju/SE  Teve #29M e teve agora #19J   O de agora foi maior e a galera com quem fiquei (PCB/UJC) falou que eles estavam mais organizados nesse (e tava mesmo, mó bonito, orgulho da porra), porém tinha uma galera meio desorganizada em outros blocos.",pt,"['29m', '19j']",[],2391941178,2391941178,Viktorwerk,Chá de Rivotril,6,20,https://twitter.com/Viktorwerk/status/1406401299705483267,[],[],0,,False,0,0,0,,#19j,,,,,,,"[{'screen_name': '_makavelijones', 'name': 'Jones Manoel - Youtube: Jones Manoel', 'id': '889628930436730881'}]",,,,
3,1406401131023065088,1406401131023065088,1624147133000.0,2021-06-19 20:58:53,-0300,,GRAÇAS A DEUS 🙏🇧🇷 #ForaBolsonaro #19JunhoPovoNasRuas #19J #impeachment,pt,"['forabolsonaro', '19junhopovonasruas', '19j', 'impeachment']",[],1276525875966730240,1276525875966730240,DigaBorges,Otávio Vacinado 🐊 #UsePFF2,6,20,https://twitter.com/DigaBorges/status/1406401131023065088,[],[],0,,False,1,0,0,https://twitter.com/renanpeixoto_/status/1406297467835011074,#19j,,,,,,,[],,,,
4,1406401087683366921,1406401087683366921,1624147123000.0,2021-06-19 20:58:43,-0300,,"“El tapabocas incomoda pero es necesario. El genocida incomoda mucho más”.  📸 Rio de Janeiro, Brasil. #19J #19JForaBolsonaro #19JunhoPovoNasRuas  https://t.co/ws87V0MZjx",es,"['19j', '19jforabolsonaro', '19junhopovonasruas']",[],327135102,327135102,volviendoalsur,Daniel Sur 🌎,6,20,https://twitter.com/volviendoalsur/status/1406401087683366921,[],['https://pbs.twimg.com/media/E4SKVYzWEAA5Lvi.jpg'],1,https://pbs.twimg.com/media/E4SKVYzWEAA5Lvi.jpg,False,0,0,0,,#19j,,,,,,,[],,,,
5,1406401057434046470,1406401057434046470,1624147116000.0,2021-06-19 20:58:36,-0300,,"#19J marcado por 500 mil irmãos e irmãs mortos e mortas por Covid, e gritos de #ForaBolsonaroGenocida em todo país...",pt,"['19j', 'forabolsonarogenocida']",[],717206755,717206755,qua_non,Kika Valkiria,6,20,https://twitter.com/qua_non/status/1406401057434046470,[],[],0,,False,0,0,0,,#19j,,,,,,,[],,,,
6,1406401018083033090,1406401018083033090,1624147107000.0,2021-06-19 20:58:27,-0300,,Portugal também se manifestou contra o genocida no Brasil. Fora Bolsonaro em Lisboa. Video /luflorence #19JForaBolsonaro #19J  https://t.co/oGH4o9LBFS,pt,"['19jforabolsonaro', '19j']",[],1032670080537124865,1032670080537124865,CleytonReisReal,🚩CleytonReis🚩,6,20,https://twitter.com/CleytonReisReal/status/1406401018083033090,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1406400365117984770/pu/img/z93j-llGVFLdkBJ-.jpg,False,1,0,0,,#19j,,,,,,,[],,,,
7,1406401010617270272,1406401010617270272,1624147105000.0,2021-06-19 20:58:25,-0300,,19J - UBMRO presente no Ato Fora Bolsonaro   #19J #19jforaBolsonaro  #VacinaJá  #AuxílioEmergencial #UBMBRASIL  https://t.co/Nh0CWroWfU,es,"['19j', '19jforabolsonaro', 'vacinajá', 'auxílioemergencial', 'ubmbrasil']",[],2881397717,2881397717,ubmoficial,UBM Brasil,6,20,https://twitter.com/ubmoficial/status/1406401010617270272,[],"['https://pbs.twimg.com/media/E4SKQk4WQAwUMFI.jpg', 'https://pbs.twimg.com/media/E4SKQyNWQAI_oEB.jpg', 'https://pbs.twimg.com/media/E4SKRAZXIAEizNg.jpg']",1,https://pbs.twimg.com/media/E4SKQk4WQAwUMFI.jpg,False,0,0,0,,#19j,,,,,,,[],,,,
8,1406400996046258176,1406400996046258176,1624147101000.0,2021-06-19 20:58:21,-0300,,"Bolsonaro será derrotado por aqueles que ele mais odeia! Foram centenas de milhares hoje nas ruas pedindo #ForaBolsonaro! Viva o povo unido, viva a luta popular! Queremos vida, pão e vacina! Basta! #19J #SP #Paulista #ForaGenocida #ForaBolsonaro19J  https://t.co/V7mDZx6Ikq",pt,"['forabolsonaro', '19j', 'sp', 'paulista', 'foragenocida', 'forabolsonaro19j']",[],738143559920934912,738143559920934912,ErikakHilton,ERIKA HILTON 🏳️‍⚧️💉,6,20,https://twitter.com/ErikakHilton/status/1406400996046258176,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1406393403550674946/img/u0PyJ4slYs_zaZvB.jpg,False,688,27,130,,#19j,,,,,,,[],,,,
9,1406400887527030784,1406380481516654596,1624147075000.0,2021-06-19 20:57:55,-0300,,@jgprates Foi 🤩@Haddad_Fernando no #19J na Paulista.  https://t.co/dbp0Um1hme,pt,['19j'],[],4858859447,4858859447,jatene_cris,Cristiane Jatene💉😷🌎🇧🇷🏴,6,20,https://twitter.com/jatene_cris/status/1406400887527030784,[],['https://pbs.twimg.com/media/E4SKJojWEAYz8cv.jpg'],1,https://pbs.twimg.com/media/E4SKJojWEAYz8cv.jpg,False,0,0,2,,#19j,,,,,,,"[{'screen_name': 'jgprates', 'name': 'João Gabriel Prates', 'id': '75128118'}]",,,,
